title,country,genre,director,actors
1+1,Франция, драма,Оливье Накаш,"Франсуа Клюзе, Омар Си"
Интерстеллар,США, фантастика,Кристофер Нолан,"Мэттью Макконахи, Энн Хэтэуэй"
Побег из Шоушенка,США, драма,Фрэнк Дарабонт,"Тим Роббинс, Морган Фриман"
Зеленая миля,США, драма,Фрэнк Дарабонт,"Том Хэнкс, Дэвид Морс"
Остров проклятых,США, триллер,Мартин Скорсезе,"Леонардо ДиКаприо, Марк Руффало"
Бойцовский клуб,США, триллер,Дэвид Финчер,"Эдвард Нортон, Брэд Питт"
Форрест Гамп,США, драма,Роберт Земекис,"Том Хэнкс, Робин Райт"
Властелин колец: Возвращение короля,Новая Зеландия, фэнтези,Питер Джексон,"Элайджа Вуд, Вигго Мортенсен"
Унесённые призраками,Япония, аниме,Хаяо Миядзаки,"Руми Хиираги, Мию Ирино"
Властелин колец: Братство Кольца,Новая Зеландия, фэнтези,Питер Джексон,"Элайджа Вуд, Иэн Маккеллен"
Леон,Франция, боевик,Люк Бессон,"Жан Рено, Натали Портман"
Джентльмены,США, криминал,Гай Ричи,"Мэттью Макконахи, Чарли Ханнэм"
Терминатор 2: Судный день,США, фантастика,Джеймс Кэмерон,"Арнольд Шварценеггер, Линда Хэмилтон"
Властелин колец: Две крепости,Новая Зеландия, фэнтези,Питер Джексон,"Элайджа Вуд, Иэн Маккеллен"
Начало,США, фантастика,Кристофер Нолан,"Леонардо ДиКаприо, Джозеф Гордон-Левитт"
Достучаться до небес,Германия, драма,Томас Ян,"Тиль Швайгер, Ян Йозеф Лиферс"
Зеленая книга,США, биография,Питер Фаррелли,"Вигго Мортенсен, Махершала Али"
Криминальное чтиво,США, криминал,Квентин Тарантино,"Джон Траволта, Сэмюэл Л. Джексон"
Тайна Коко,США, мультфильм,Ли Анкрич,"Энтони Гонсалес, Гаэль Гарсиа Берналь"
Темный рыцарь,США, фантастика,Кристофер Нолан,"Кристиан Бэйл, Хит Леджер"
Гладиатор,США, история,Ридли Скотт,"Рассел Кроу, Хоакин Феникс"
Список Шиндлера,США, драма,Стивен Спилберг,"Лиам Нисон, Бен Кингсли"
Шрэк,США, мультфильм,Эндрю Адамсон,"Майк Майерс, Эдди Мерфи"
Иван Васильевич меняет профессию,СССР, комедия,Леонид Гайдай,"Александр Демьяненко, Юрий Яковлев"
Брат,Россия, драма,Алексей Балабанов,"Сергей Бодров мл., Виктор Сухоруков"
Брат 2,Россия, боевик,Алексей Балабанов,"Сергей Бодров мл., Виктор Сухоруков"
Волк с Уолл-стрит,США, драма,Мартин Скорсезе,"Леонардо ДиКаприо, Джона Хилл"
Назад в будущее,США, фантастика,Роберт Земекис,"Майкл Дж. Фокс, Кристофер Ллойд"
Большой куш,Великобритания, криминал,Гай Ричи,"Джейсон Стэйтем, Стивен Грэм"
Собачье сердце,СССР, драма,Владимир Бортко,"Евгений Евстигнеев, Владимир Толоконников"
Унесённые ветром,США, мелодрама,Виктор Флеминг,"Вивьен Ли, Кларк Гейбл"
"Поймай меня, если сможешь",США, криминал,Стивен Спилберг,"Леонардо ДиКаприо, Том Хэнкс"
Хатико: Самый верный друг,США, драма,Лассе Халльстрём,"Ричард Гир, Джоан Аллен"
Дикий робот,США, мультфильм,Крис Сандерс,"Лупита Нионго, Педро Паскаль"
Гарри Поттер и философский камень,Великобритания, фэнтези,Крис Коламбус,"Дэниэл Рэдклифф, Руперт Гринт"
Операция «Ы» и другие приключения Шурика,СССР, комедия,Леонид Гайдай,"Александр Демьяненко, Наталья Селезнёва"
"Карты, деньги, два ствола",Великобритания, боевик,Гай Ричи,"Джейсон Флеминг, Декстер Флетчер"
Престиж,Великобритания, триллер,Кристофер Нолан,"Хью Джекман, Кристиан Бэйл"
Одержимость,США, драма,Дэмьен Шазелл,"Майлз Теллер, Дж.К. Симмонс"
Девчата,СССР, мелодрама,Юрий Чулюкин,"Надежда Румянцева, Николай Рыбников"
Матрица,США, фантастика,Лана Вачовски,"Киану Ривз, Лоренс Фишбёрн"
Гарри Поттер и узник Азкабана,Великобритания, фэнтези,Альфонсо Куарон,"Дэниэл Рэдклифф, Руперт Гринт"
Титаник,США, мелодрама,Джеймс Кэмерон,"Леонардо ДиКаприо, Кейт Уинслет"
Джентльмены удачи,СССР, комедия,Александр Серый,"Евгений Леонов, Георгий Вицин"
Дюна: Часть вторая,США, фантастика,Дени Вильнёв,"Тимоти Шаламе, Зендея"
Отступники,США, криминал,Мартин Скорсезе,"Леонардо ДиКаприо, Мэтт Дэймон"
Бриллиантовая рука,СССР, комедия,Леонид Гайдай,"Юрий Никулин, Андрей Миронов"
Укрощение строптивого,Италия, мелодрама,Франко Кастеллано,"Адриано Челентано, Орнелла Мути"
Пианист,Франция, драма,Роман Полански,"Эдриан Броуди, Эмилия Фокс"
Малышка на миллион,США, драма,Клинт Иствуд,"Клинт Иствуд, Хилари Суэнк"
Джанго освобожденный,США, вестерн,Квентин Тарантино,"Джейми Фокс, Кристоф Вальц"
Вторая жизнь Уве,Швеция, драма,Ханнес Холм,"Рольф Лассгор, Бахар Парс"
Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,СССР, детектив,Игорь Масленников,"Василий Ливанов, Виталий Соломин"
Одна жизнь,Великобритания, драма,Джеймс Хоуз,"Энтони Хопкинс, Хелена Бонем Картер"
Шрэк 2,США, мультфильм,Эндрю Адамсон,"Майк Майерс, Эдди Мерфи"
